,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Andaman & Nicobar Islands,6,4,4,20,8,12,6,24,36,48
Andhra Pradesh,1742,2004,1892,2032,1870,2098,2140,2514,2376,2724
Arunachal Pradesh,66,76,62,84,70,74,96,84,118,94
Assam,1634,1940,2190,2342,2476,2488,2874,2876,3262,3442
