,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Andaman & Nicobar Islands,26,34,42,30,30,10,30,16,36,20
Andhra Pradesh,5566,5302,5828,5280,5856,5880,5700,5524,4950,5076
Arunachal Pradesh,166,122,154,134,162,120,136,144,118,150
Assam,2712,2506,2382,2428,2388,2414,2748,2852,2646,2446
