ID,Area_Name,Year,Sub_Group_Name,K_A_Cases_Reported
257,West Bengal,2001,02. For Begging,0
258,Andhra Pradesh,2002,02. For Begging,6
259,Assam,2002,02. For Begging,9
260,Bihar,2002,02. For Begging,0
261,Chhattisgarh,2002,02. For Begging,0
262,Daman & Diu,2002,02. For Begging,0
263,Gujarat,2002,02. For Begging,0
264,Haryana,2002,02. For Begging,0
265,Himachal Pradesh,2002,02. For Begging,0
266,Jammu & Kashmir,2002,02. For Begging,0
267,Karnataka,2002,02. For Begging,0
268,Kerala,2002,02. For Begging,3
269,Madhya Pradesh,2002,02. For Begging,0
270,Maharashtra,2002,02. For Begging,2
271,Meghalaya,2002,02. For Begging,0
272,Nagaland,2002,02. For Begging,0
273,Odisha,2002,02. For Begging,0
274,Punjab,2002,02. For Begging,0
275,Rajasthan,2002,02. For Begging,1
276,Tamil Nadu,2002,02. For Begging,0
277,Tripura,2002,02. For Begging,0
278,Uttar Pradesh,2002,02. For Begging,1
279,West Bengal,2002,02. For Begging,1
280,Andhra Pradesh,2003,02. For Begging,1
281,Arunachal Pradesh,2003,02. For Begging,0
282,Assam,2003,02. For Begging,0
283,Bihar,2003,02. For Begging,0
284,Chandigarh,2003,02. For Begging,0
285,Chhattisgarh,2003,02. For Begging,0
286,Daman & Diu,2003,02. For Begging,0
287,Gujarat,2003,02. For Begging,0
288,Haryana,2003,02. For Begging,1
289,Himachal Pradesh,2003,02. For Begging,0
290,Jammu & Kashmir,2003,02. For Begging,0
291,Jharkhand,2003,02. For Begging,0
292,Karnataka,2003,02. For Begging,0
293,Kerala,2003,02. For Begging,3
294,Madhya Pradesh,2003,02. For Begging,NULL
295,Maharashtra,2003,02. For Begging,2
296,Meghalaya,2003,02. For Begging,0
297,Nagaland,2003,02. For Begging,0
298,Odisha,2003,02. For Begging,0
299,Punjab,2003,02. For Begging,0
300,Tamil Nadu,2003,02. For Begging,0
301,West Bengal,2003,02. For Begging,0
302,Andhra Pradesh,2004,02. For Begging,0
303,Arunachal Pradesh,2004,02. For Begging,0
304,Assam,2004,02. For Begging,0
305,Bihar,2004,02. For Begging,1
306,Chandigarh,2004,02. For Begging,1
307,Chhattisgarh,2004,02. For Begging,1
308,Gujarat,2004,02. For Begging,0
309,Haryana,2004,02. For Begging,1
310,Himachal Pradesh,2004,02. For Begging,0
311,Karnataka,2004,02. For Begging,2
312,Madhya Pradesh,2004,02. For Begging,2
313,Maharashtra,2004,02. For Begging,5
314,Manipur,2004,02. For Begging,0
315,Meghalaya,2004,02. For Begging,0
316,Mizoram,2004,02. For Begging,0
317,Nagaland,2004,02. For Begging,0
318,Odisha,2004,02. For Begging,0
319,Punjab,2004,02. For Begging,0
320,Rajasthan,2004,02. For Begging,1
321,Tamil Nadu,2004,02. For Begging,0
322,Uttar Pradesh,2004,02. For Begging,4
323,West Bengal,2004,02. For Begging,0
324,Andhra Pradesh,2005,02. For Begging,2
325,Arunachal Pradesh,2005,02. For Begging,0
326,Assam,2005,02. For Begging,0
327,Bihar,2005,02. For Begging,0
328,Chandigarh,2005,02. For Begging,0
329,Chhattisgarh,2005,02. For Begging,0
330,Delhi,2005,02. For Begging,2
331,Goa,2005,02. For Begging,1
332,Gujarat,2005,02. For Begging,2
333,Haryana,2005,02. For Begging,1
334,Himachal Pradesh,2005,02. For Begging,0
335,Jammu & Kashmir,2005,02. For Begging,0
336,Jharkhand,2005,02. For Begging,0
337,Karnataka,2005,02. For Begging,4
338,Kerala,2005,02. For Begging,1
339,Madhya Pradesh,2005,02. For Begging,0
340,Maharashtra,2005,02. For Begging,2
341,Manipur,2005,02. For Begging,0
342,Meghalaya,2005,02. For Begging,0
343,Mizoram,2005,02. For Begging,0
344,Nagaland,2005,02. For Begging,0
345,Odisha,2005,02. For Begging,0
346,Punjab,2005,02. For Begging,2
347,Tripura,2005,02. For Begging,0
348,Uttar Pradesh,2005,02. For Begging,0
349,Uttarakhand,2005,02. For Begging,1
350,West Bengal,2005,02. For Begging,0
351,Andhra Pradesh,2006,02. For Begging,1
352,Arunachal Pradesh,2006,02. For Begging,0
353,Assam,2006,02. For Begging,0
354,Chhattisgarh,2006,02. For Begging,0
355,Gujarat,2006,02. For Begging,1
356,Haryana,2006,02. For Begging,1
357,Himachal Pradesh,2006,02. For Begging,0
358,Jammu & Kashmir,2006,02. For Begging,0
359,Jharkhand,2006,02. For Begging,0
360,Karnataka,2006,02. For Begging,0
361,Kerala,2006,02. For Begging,2
362,Madhya Pradesh,2006,02. For Begging,1
363,Maharashtra,2006,02. For Begging,1
364,Manipur,2006,02. For Begging,0
365,Meghalaya,2006,02. For Begging,0
366,Mizoram,2006,02. For Begging,0
367,Nagaland,2006,02. For Begging,0
368,Odisha,2006,02. For Begging,9
369,Tamil Nadu,2006,02. For Begging,0
370,Tripura,2006,02. For Begging,0
371,Uttar Pradesh,2006,02. For Begging,4
372,West Bengal,2006,02. For Begging,3
373,Andhra Pradesh,2007,02. For Begging,6
374,Arunachal Pradesh,2007,02. For Begging,0
375,Assam,2007,02. For Begging,0
376,Bihar,2007,02. For Begging,1
377,Chhattisgarh,2007,02. For Begging,0
378,Gujarat,2007,02. For Begging,0
379,Haryana,2007,02. For Begging,0
380,Himachal Pradesh,2007,02. For Begging,0
381,Jammu & Kashmir,2007,02. For Begging,0
382,Jharkhand,2007,02. For Begging,1
383,Karnataka,2007,02. For Begging,1
384,Kerala,2007,02. For Begging,2
385,Madhya Pradesh,2007,02. For Begging,0
386,Maharashtra,2007,02. For Begging,1
387,Manipur,2007,02. For Begging,0
388,Meghalaya,2007,02. For Begging,0
389,Mizoram,2007,02. For Begging,0
390,Nagaland,2007,02. For Begging,0
391,Odisha,2007,02. For Begging,0
392,Rajasthan,2007,02. For Begging,1
393,Tamil Nadu,2007,02. For Begging,1
394,West Bengal,2007,02. For Begging,1
395,Andhra Pradesh,2008,02. For Begging,18
396,Arunachal Pradesh,2008,02. For Begging,0
397,Assam,2008,02. For Begging,0
398,Bihar,2008,02. For Begging,1
399,Chhattisgarh,2008,02. For Begging,0
400,Delhi,2008,02. For Begging,0
401,Gujarat,2008,02. For Begging,5
402,Haryana,2008,02. For Begging,0
403,Himachal Pradesh,2008,02. For Begging,0
404,Jammu & Kashmir,2008,02. For Begging,0
405,Karnataka,2008,02. For Begging,0
406,Madhya Pradesh,2008,02. For Begging,2
407,Maharashtra,2008,02. For Begging,4
408,Manipur,2008,02. For Begging,1
409,Meghalaya,2008,02. For Begging,0
410,Mizoram,2008,02. For Begging,0
411,Nagaland,2008,02. For Begging,0
412,Odisha,2008,02. For Begging,0
413,Puducherry,2008,02. For Begging,0
414,Rajasthan,2008,02. For Begging,2
415,Tamil Nadu,2008,02. For Begging,1
416,West Bengal,2008,02. For Begging,0
417,Andhra Pradesh,2009,02. For Begging,1
418,Arunachal Pradesh,2009,02. For Begging,0
419,Assam,2009,02. For Begging,0
420,Bihar,2009,02. For Begging,1
421,Chandigarh,2009,02. For Begging,0
422,Chhattisgarh,2009,02. For Begging,0
423,Delhi,2009,02. For Begging,1
424,Gujarat,2009,02. For Begging,1
425,Haryana,2009,02. For Begging,0
426,Himachal Pradesh,2009,02. For Begging,0
427,Jammu & Kashmir,2009,02. For Begging,0
428,Karnataka,2009,02. For Begging,2
429,Kerala,2009,02. For Begging,2
430,Madhya Pradesh,2009,02. For Begging,1
431,Maharashtra,2009,02. For Begging,2
432,Manipur,2009,02. For Begging,0
433,Meghalaya,2009,02. For Begging,0
434,Nagaland,2009,02. For Begging,0
435,Odisha,2009,02. For Begging,0
436,Punjab,2009,02. For Begging,1
437,Tamil Nadu,2009,02. For Begging,0
438,West Bengal,2009,02. For Begging,19
439,Andhra Pradesh,2010,02. For Begging,3
440,Arunachal Pradesh,2010,02. For Begging,0
441,Bihar,2010,02. For Begging,1
442,Chhattisgarh,2010,02. For Begging,1
443,Gujarat,2010,02. For Begging,0
444,Himachal Pradesh,2010,02. For Begging,0
445,Jammu & Kashmir,2010,02. For Begging,0
446,Jharkhand,2010,02. For Begging,0
447,Karnataka,2010,02. For Begging,2
448,Kerala,2010,02. For Begging,1
449,Madhya Pradesh,2010,02. For Begging,1
450,Maharashtra,2010,02. For Begging,1
451,Manipur,2010,02. For Begging,1
452,Meghalaya,2010,02. For Begging,0
453,Mizoram,2010,02. For Begging,0
454,Nagaland,2010,02. For Begging,0
455,Odisha,2010,02. For Begging,25
456,Puducherry,2010,02. For Begging,1
457,Punjab,2010,02. For Begging,1
458,Rajasthan,2010,02. For Begging,3
459,Tamil Nadu,2010,02. For Begging,0
460,West Bengal,2010,02. For Begging,18
461,Andhra Pradesh,2001,03. for Camel Racing,0
462,Arunachal Pradesh,2001,03. for Camel Racing,0
463,Assam,2001,03. for Camel Racing,0
464,Bihar,2001,03. for Camel Racing,0
465,Chandigarh,2001,03. for Camel Racing,0
466,Chhattisgarh,2001,03. for Camel Racing,0
467,Gujarat,2001,03. for Camel Racing,0
468,Haryana,2001,03. for Camel Racing,0
469,Himachal Pradesh,2001,03. for Camel Racing,0
470,Jharkhand,2001,03. for Camel Racing,0
471,Karnataka,2001,03. for Camel Racing,0
472,Maharashtra,2001,03. for Camel Racing,0
473,Meghalaya,2001,03. for Camel Racing,0
474,Mizoram,2001,03. for Camel Racing,0
475,Nagaland,2001,03. for Camel Racing,0
476,Odisha,2001,03. for Camel Racing,0
477,Tamil Nadu,2001,03. for Camel Racing,0
478,West Bengal,2001,03. for Camel Racing,0
479,Andhra Pradesh,2002,03. for Camel Racing,0
480,Assam,2002,03. for Camel Racing,0
481,Bihar,2002,03. for Camel Racing,0
482,Chhattisgarh,2002,03. for Camel Racing,0
483,Daman & Diu,2002,03. for Camel Racing,0
484,Gujarat,2002,03. for Camel Racing,0
485,Haryana,2002,03. for Camel Racing,0
486,Himachal Pradesh,2002,03. for Camel Racing,0
487,Jammu & Kashmir,2002,03. for Camel Racing,0
488,Karnataka,2002,03. for Camel Racing,0
489,Madhya Pradesh,2002,03. for Camel Racing,0
490,Maharashtra,2002,03. for Camel Racing,0
491,Meghalaya,2002,03. for Camel Racing,0
492,Nagaland,2002,03. for Camel Racing,0
493,Odisha,2002,03. for Camel Racing,0
494,Punjab,2002,03. for Camel Racing,0
495,Tamil Nadu,2002,03. for Camel Racing,0
496,Tripura,2002,03. for Camel Racing,0
497,West Bengal,2002,03. for Camel Racing,0
498,Andhra Pradesh,2003,03. for Camel Racing,0
499,Arunachal Pradesh,2003,03. for Camel Racing,0
500,Assam,2003,03. for Camel Racing,0
501,Bihar,2003,03. for Camel Racing,0
502,Chandigarh,2003,03. for Camel Racing,0
503,Chhattisgarh,2003,03. for Camel Racing,0
504,Daman & Diu,2003,03. for Camel Racing,0
505,Gujarat,2003,03. for Camel Racing,0
506,Haryana,2003,03. for Camel Racing,0
507,Himachal Pradesh,2003,03. for Camel Racing,0
508,Jammu & Kashmir,2003,03. for Camel Racing,0
509,Jharkhand,2003,03. for Camel Racing,0
510,Karnataka,2003,03. for Camel Racing,0
511,Madhya Pradesh,2003,03. for Camel Racing,NULL
512,Maharashtra,2003,03. for Camel Racing,0
513,Meghalaya,2003,03. for Camel Racing,0
514,Nagaland,2003,03. for Camel Racing,0
515,Odisha,2003,03. for Camel Racing,0
516,Punjab,2003,03. for Camel Racing,0
517,Tamil Nadu,2003,03. for Camel Racing,0
518,West Bengal,2003,03. for Camel Racing,0
519,Andhra Pradesh,2004,03. for Camel Racing,0
520,Arunachal Pradesh,2004,03. for Camel Racing,0
521,Assam,2004,03. for Camel Racing,0
522,Bihar,2004,03. for Camel Racing,0
523,Chhattisgarh,2004,03. for Camel Racing,0
524,Gujarat,2004,03. for Camel Racing,0
525,Himachal Pradesh,2004,03. for Camel Racing,0
526,Karnataka,2004,03. for Camel Racing,0
527,Madhya Pradesh,2004,03. for Camel Racing,0
528,Maharashtra,2004,03. for Camel Racing,0
529,Manipur,2004,03. for Camel Racing,0
530,Meghalaya,2004,03. for Camel Racing,0
531,Mizoram,2004,03. for Camel Racing,0
532,Nagaland,2004,03. for Camel Racing,0
533,Odisha,2004,03. for Camel Racing,0
534,Punjab,2004,03. for Camel Racing,0
535,Tamil Nadu,2004,03. for Camel Racing,0
536,Tripura,2004,03. for Camel Racing,NULL
537,Uttar Pradesh,2004,03. for Camel Racing,0
538,West Bengal,2004,03. for Camel Racing,0
539,Andhra Pradesh,2005,03. for Camel Racing,0
540,Arunachal Pradesh,2005,03. for Camel Racing,0
541,Assam,2005,03. for Camel Racing,0
542,Bihar,2005,03. for Camel Racing,0
543,Chandigarh,2005,03. for Camel Racing,0
544,Chhattisgarh,2005,03. for Camel Racing,0
545,Gujarat,2005,03. for Camel Racing,0
546,Haryana,2005,03. for Camel Racing,0
547,Himachal Pradesh,2005,03. for Camel Racing,0
548,Jammu & Kashmir,2005,03. for Camel Racing,0
549,Jharkhand,2005,03. for Camel Racing,0
550,Karnataka,2005,03. for Camel Racing,0
551,Madhya Pradesh,2005,03. for Camel Racing,0
552,Maharashtra,2005,03. for Camel Racing,0
553,Manipur,2005,03. for Camel Racing,0
554,Meghalaya,2005,03. for Camel Racing,0
555,Mizoram,2005,03. for Camel Racing,0
556,Nagaland,2005,03. for Camel Racing,0
557,Odisha,2005,03. for Camel Racing,0
558,Punjab,2005,03. for Camel Racing,0
559,Tripura,2005,03. for Camel Racing,0
560,Uttar Pradesh,2005,03. for Camel Racing,0
561,West Bengal,2005,03. for Camel Racing,0
562,Andhra Pradesh,2006,03. for Camel Racing,0
563,Arunachal Pradesh,2006,03. for Camel Racing,0
564,Assam,2006,03. for Camel Racing,0
565,Chhattisgarh,2006,03. for Camel Racing,0
566,Gujarat,2006,03. for Camel Racing,0
567,Himachal Pradesh,2006,03. for Camel Racing,0
568,Jammu & Kashmir,2006,03. for Camel Racing,0
569,Jharkhand,2006,03. for Camel Racing,0
570,Karnataka,2006,03. for Camel Racing,0
571,Madhya Pradesh,2006,03. for Camel Racing,0
572,Maharashtra,2006,03. for Camel Racing,0
573,Manipur,2006,03. for Camel Racing,0
574,Meghalaya,2006,03. for Camel Racing,0
575,Mizoram,2006,03. for Camel Racing,0
576,Nagaland,2006,03. for Camel Racing,0
577,Odisha,2006,03. for Camel Racing,0
578,Tamil Nadu,2006,03. for Camel Racing,0
579,Tripura,2006,03. for Camel Racing,0
580,Uttar Pradesh,2006,03. for Camel Racing,0
581,West Bengal,2006,03. for Camel Racing,0
582,Andhra Pradesh,2007,03. for Camel Racing,3
583,Arunachal Pradesh,2007,03. for Camel Racing,0
584,Assam,2007,03. for Camel Racing,0
585,Bihar,2007,03. for Camel Racing,0
586,Chhattisgarh,2007,03. for Camel Racing,0
587,Gujarat,2007,03. for Camel Racing,0
588,Haryana,2007,03. for Camel Racing,0
589,Himachal Pradesh,2007,03. for Camel Racing,0
590,Jammu & Kashmir,2007,03. for Camel Racing,0
591,Karnataka,2007,03. for Camel Racing,0
592,Madhya Pradesh,2007,03. for Camel Racing,0
593,Maharashtra,2007,03. for Camel Racing,0
594,Manipur,2007,03. for Camel Racing,0
595,Meghalaya,2007,03. for Camel Racing,0
596,Mizoram,2007,03. for Camel Racing,0
597,Nagaland,2007,03. for Camel Racing,0
598,Odisha,2007,03. for Camel Racing,0
599,Tamil Nadu,2007,03. for Camel Racing,0
600,West Bengal,2007,03. for Camel Racing,0
601,Andhra Pradesh,2008,03. for Camel Racing,0
602,Arunachal Pradesh,2008,03. for Camel Racing,0
603,Assam,2008,03. for Camel Racing,0
604,Bihar,2008,03. for Camel Racing,0
605,Chhattisgarh,2008,03. for Camel Racing,0
606,Gujarat,2008,03. for Camel Racing,0
607,Haryana,2008,03. for Camel Racing,0
608,Himachal Pradesh,2008,03. for Camel Racing,0
609,Jammu & Kashmir,2008,03. for Camel Racing,0
610,Karnataka,2008,03. for Camel Racing,0
611,Madhya Pradesh,2008,03. for Camel Racing,0
612,Maharashtra,2008,03. for Camel Racing,0
613,Manipur,2008,03. for Camel Racing,0
614,Meghalaya,2008,03. for Camel Racing,0
615,Mizoram,2008,03. for Camel Racing,0
616,Nagaland,2008,03. for Camel Racing,0
617,Odisha,2008,03. for Camel Racing,0
618,Puducherry,2008,03. for Camel Racing,0
619,Tamil Nadu,2008,03. for Camel Racing,0
620,West Bengal,2008,03. for Camel Racing,0
621,Andhra Pradesh,2009,03. for Camel Racing,0
622,Arunachal Pradesh,2009,03. for Camel Racing,0
